Info,Version=1.0.0,Template=fx_category_template_EBAY_US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,*ConditionID,*C:Graded,*C:Sport,*C:Player/Athlete,*C:Parallel/Variety,*C:Manufacturer,C:Season,*C:Features,*C:Set,CD:Grade - (ID: 27502),*C:League,CD:Professional Grader - (ID: 27501),*C:Team,*C:Autographed,CD:Card Condition - (ID: 40001),*C:Card Name,*C:Card Number,CDA:Certification Number - (ID: 27503),*C:Type,C:Signed By,C:Autograph Authentication,C:Year Manufactured,C:Card Size,C:Country/Region of Manufacturer,C:Material,C:Autograph Format,C:Vintage,C:Original/Licensed Reprint,C:Event/Tournament,C:Language,C:Autograph Authentication Number,C:Bundle Description,C:California Prop 65 Warning,C:Card Thickness,C:Custom Bundle,C:Insert Set,C:Print Run,PicURL,GalleryType,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,*Quantity,PayPalAccepted,PayPalEmailAddress,ImmediatePayRequired,PaymentInstructions,*Location,PostalCode,ShippingType,ShippingService-1:Option,ShippingService-1:FreeShipping,ShippingService-1:Cost,ShippingService-1:AdditionalCost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,TakeBackPolicyID,ProductCompliancePolicyID,ScheduleTime,BestOfferEnabled,MinimumBestOfferPrice,BestOfferAutoAcceptPrice,*C:Rookie,"*C:Memorabilia",ActiveListings,SoldListings,Confidence,PricingPulledFrom
Add,CDP-388FFD0,261328,0,2025 Bowman - Bowman SCOUTS Top 100 Marcelo Mayer #BTP-4 (RC) Rookie,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Bowman - Bowman SCOUTS Top 100 Marcelo Mayer #BTP-4 (RC) Rookie</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,2.49,,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,Yes,No,,,"",Active,Completed,88%,2025 Bowman - Bowman Scouts Top 100 Chrome Marcelo Mayer #BTP-4 (RC)
Add,CDP-B676C2C,261328,0,2025 Bowman Chrome RECE HINDS #RR-8 (RC) Rockstar Rookies,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Bowman Chrome RECE HINDS #RR-8 (RC) Rockstar Rookies</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,2.49,,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,Yes,No,,,"",Active,Completed,85%,2025 Bowman Chrome #RR-8 Rece Hinds Rockstar Rookies Cincinnati Reds RC
Add,CDP-E37E4FD,261328,0,2025 Bowman 1st Chrome JHONAYKER UGARTE #BCP-123 (RC) Royals Rookie,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Bowman 1st Chrome JHONAYKER UGARTE #BCP-123 (RC) Royals Rookie</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,2.49,,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,Yes,No,,,"",Active,Completed,64%,2025 Bowman Chrome Prospects *YOU PICK* 1st RC Base BCP 1-150 *BUY 2+ & SAVE*
Add,CDP-067FF8D,261328,0,2025 Bowman Chrome KUMAR ROCKER ROY-5 TEXAS RANGERS,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Bowman Chrome KUMAR ROCKER ROY-5 TEXAS RANGERS</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,2.49,,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,No,No,,,"",Active,Completed,68%,2025 Bowman Chrome - Rookie of the Year Favorites Kumar Rocker RC #ROY-5 Mojo
Add,CDP-E74F701,261328,0,2025 Topps Heritage Baseball #92 Bobby Witt Jr. 👑Kansas City Royals👑,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Topps Heritage Baseball #92 Bobby Witt Jr. 👑Kansas City Royals👑</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,2.49,,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,No,No,,,"",Active,Completed,61%,2025 Topps Heritage Baseball Cards - Pick Your Card - Free Shipping! #1-250
Add,CDP-4895D6C,261328,0,2025 Bowman CONNOR NORBY #46 (RC) Marlins Rookie,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Bowman CONNOR NORBY #46 (RC) Marlins Rookie</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,"2.49, CHECK",,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,Yes,No,,,"",Active,Completed,59%,"2025 Bowman Paper - Rookies, Vets - You choose the card! 2 CARD MINIMUM!"
Add,CDP-B954CB1,261328,0,2025 Topps Series 1 RONALD ACUÑA JR. #TG-16 Training Grounds Braves,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Topps Series 1 RONALD ACUÑA JR. #TG-16 Training Grounds Braves</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,2.49,,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,No,No,,,"",Active,Completed,85%,2025 Topps #TG-16 Ronald Acuña Jr. Training Grounds Atlanta Braves
Add,CDP-4C8AF73,261328,0,2025 Topps 2024's GREATEST HITS #GH-27 Wyatt Langford Texas Rangers,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Topps 2024's GREATEST HITS #GH-27 Wyatt Langford Texas Rangers</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,2.49,,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,No,No,,,"",Active,Completed,86%,2025 Topps Wyatt Langford 2024's Greatest Hits #GH-27
Add,CDP-2EE740C,261328,0,2025 Topps Series 1 MOOKIE BETTS 1990 Topps Baseball #T90-60 Dodgers,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Topps Series 1 MOOKIE BETTS 1990 Topps Baseball #T90-60 Dodgers</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,2.49,,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,No,No,,,"",Active,Completed,84%,2025 Topps - 1990 Variation Mookie Betts #T90-60 - Dodgers
Add,CDP-E406302,261328,0,2025 Bowman LUISANGEL ACUNA #83 (RC) Mets Rookie,,,4000,No,BASEBALL,,,,,,,,MLB,,,No,Excellent,,,,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,"<div style=""background:#FDFEFE;border:1px solid #CBD4C2;color:#353535;padding:40px;line-height:1.6;font-family:Arial,sans-serif;font-size:16px;""><h1 style=""text-align:center;"">2025 Bowman LUISANGEL ACUNA #83 (RC) Mets Rookie</h1><table style=""width:100%;margin-top:30px;border-spacing:0;""><tr><th align=""left"">Payment</th><td>Payment is due within 4 days. Unpaid items may be canceled and relisted.</td></tr><tr><th align=""left"">Shipping</th><td>Items ship via eBay Standard Envelope. Combined shipping may apply. Usually ships within 1 business day.</td></tr><tr><th align=""left"">Disclaimer</th><td>All cards are sold as-is. Review item condition and images. No refunds or returns. Contact us before leaving negative feedback.</td></tr></table><div style=""text-align:center;margin:2.5rem 0;""><a href=""https://www.tradingcardpricer.com"" style=""text-decoration:none;color:inherit;""><div style=""display:inline-flex;align-items:center;gap:1rem;""><img src=""https://s3.us-east-2.amazonaws.com/tcr.image.bucket/Logos/Priced+by+TCP.png"" alt=""EZ Price by TradingCardPricer"" style=""width:48%;max-width:300px;""><span style=""font-size:2rem;font-weight:bold;"">TradingCardPricer</span></div></a></div><div style=""margin-top:2rem;font-size:16px;""><p style=""font-weight:bold;font-size:1.1em;margin-bottom:0.5rem;"">The EZ Price Advantage—By Sellers, For Sellers</p><p style=""margin-bottom:1rem;"">🚀 <strong>EZ Price - Price Smarter, Sell Faster, Earn More!</strong></p><ul style=""margin-left:1.5rem;padding-left:0;margin-bottom:1.5rem;""><li><strong>Automate Pricing:</strong> Save hours with cutting-edge EZ Price automation.</li><li><strong>Maximize Sales:</strong> Engage buyers with competitive, customizable pricing.</li><li><strong>Boost Productivity:</strong> Spend less time pricing, more time listing and shipping!</li></ul><p style=""margin-top:1rem;"">🔎 <strong>Search EZ Price by TradingCardPricer to unlock smarter selling today!</strong></p></div><p style=""margin-top:20px;""><a href=""https://tradingcardpricer.com""><strong>Search TradingCardPricer and EZ Price to learn how our industry first EZ Price service helps sellers!</strong></a></p></div>
",FixedPrice,GTC,"2.49, CHECK",,1,,ImmediatePayRequired,,United States,,Flat,USPSFirstClass,1,0,,,1,,,ReturnsNotAccepted,,,,,,,,,,,,,Yes,No,,,"",Active,Completed,59%,"2025 Bowman Paper - Rookies, Vets - You choose the card! 2 CARD MINIMUM!"
