*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Custom label (SKU),Category ID,Category name,Title,ScheduleTime,Start price,BestOfferEnabled,Quantity,Item photo URL,Condition ID,CD:Card Condition - (ID: 40001),CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),Description,Format,Duration,Location,PostalCode,ShippingProfileName,Max dispatch time,Returns accepted option,Refund option,C:Type,C:Sport,C:Player/Athlete,C:Signed By,C:Season,C:Manufacturer,C:Parallel/Variety,C:Set,C:Team,C:League,C:Autographed,C:Card Name,C:Card Number,*C:Game,*C:Franchise,Subtitle
Add,POOKIE00038,261328,Basketball,2025-26 Topps Chrome AARON GORDON #100 NBA Prism Refractor Denver Nuggets,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259110-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259110-front.jpg"" alt=""2025-26 Topps Chrome AARON GORDON #100 NBA Prism Refractor Denver Nuggets"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome AARON GORDON #100 NBA Prism Refractor Denver Nuggets</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Aaron Gordon,N/A,2025-26,Topps,Prism Refractor,Chrome,Denver Nuggets,NBA,No,Aaron Gordon,100,,,
Add,POOKIE00039,261328,Basketball,2025-26 Topps Chrome HERBERT JONES #120 NBA Prism Refractor New Orleans Pelicans,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259114-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259114-front.jpg"" alt=""2025-26 Topps Chrome HERBERT JONES #120 NBA Prism Refractor New Orleans Pelicans"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome HERBERT JONES #120 NBA Prism Refractor New Orleans Pelicans</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Herbert Jones,N/A,2025-26,Topps,Prism Refractor,Chrome,New Orleans Pelicans,NBA,No,Herbert Jones,120,,,
Add,POOKIE00040,261328,Basketball,2025-26 Topps Chrome DRAKE POWELL #272 NBA Prism Refractor Brooklyn Nets,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259115-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259115-front.jpg"" alt=""2025-26 Topps Chrome DRAKE POWELL #272 NBA Prism Refractor Brooklyn Nets"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome DRAKE POWELL #272 NBA Prism Refractor Brooklyn Nets</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Drake Powell,N/A,2025-26,Topps,Prism Refractor,Chrome,Brooklyn Nets,NBA,No,Drake Powell,272,,,
Add,POOKIE00041,261328,Basketball,2025-26 Topps Chrome DILLON BROOKS #70 NBA RayWave Refractor Houston Rockets,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259116-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259116-front.jpg"" alt=""2025-26 Topps Chrome DILLON BROOKS #70 NBA RayWave Refractor Houston Rockets"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome DILLON BROOKS #70 NBA RayWave Refractor Houston Rockets</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Dillon Brooks,N/A,2025-26,Topps,RayWave Refractor,Chrome,Houston Rockets,NBA,No,Dillon Brooks,70,,,
Add,POOKIE00042,261328,Basketball,2025-26 Topps Chrome JAXSON HAYES #125 NBA RayWave Refractor Los Angeles Lakers,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259117-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259117-front.jpg"" alt=""2025-26 Topps Chrome JAXSON HAYES #125 NBA RayWave Refractor Los Angeles Lakers"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome JAXSON HAYES #125 NBA RayWave Refractor Los Angeles Lakers</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Jaxson Hayes,N/A,2025-26,Topps,RayWave Refractor,Chrome,Los Angeles Lakers,NBA,No,Jaxson Hayes,125,,,
Add,POOKIE00043,261328,Basketball,2025-26 Topps Chrome CHAZ LANIER #288 NBA RayWave Refractor Detroit Pistons,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259119-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259119-front.jpg"" alt=""2025-26 Topps Chrome CHAZ LANIER #288 NBA RayWave Refractor Detroit Pistons"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome CHAZ LANIER #288 NBA RayWave Refractor Detroit Pistons</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Chaz Lanier,N/A,2025-26,Topps,RayWave Refractor,Chrome,Detroit Pistons,NBA,No,Chaz Lanier,288,,,
Add,POOKIE00044,261328,Basketball,2025-26 Topps Chrome ANTHONY DAVIS #96 NBA RayWave Refractor Dallas Mavericks,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259120-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259120-front.jpg"" alt=""2025-26 Topps Chrome ANTHONY DAVIS #96 NBA RayWave Refractor Dallas Mavericks"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome ANTHONY DAVIS #96 NBA RayWave Refractor Dallas Mavericks</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Anthony Davis,N/A,2025-26,Topps,RayWave Refractor,Chrome,Dallas Mavericks,NBA,No,Anthony Davis,96,,,
Add,POOKIE00045,261328,Basketball,2025-26 Topps Chrome KEVIN GARNETT #247 NBA RayWave Refractor Boston Celtics,,2.59,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259122-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259122-front.jpg"" alt=""2025-26 Topps Chrome KEVIN GARNETT #247 NBA RayWave Refractor Boston Celtics"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome KEVIN GARNETT #247 NBA RayWave Refractor Boston Celtics</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Kevin Garnett,N/A,2025-26,Topps,RayWave Refractor,Chrome,Boston Celtics,NBA,No,Kevin Garnett,247,,,
Add,POOKIE00046,261328,Basketball,2025-26 Topps Chrome RUDY GOBERT #165 RayWave Refractor Minnesota Timberwolves,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259124-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259124-front.jpg"" alt=""2025-26 Topps Chrome RUDY GOBERT #165 RayWave Refractor Minnesota Timberwolves"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome RUDY GOBERT #165 RayWave Refractor Minnesota Timberwolves</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Rudy Gobert,N/A,2025-26,Topps,RayWave Refractor,Chrome,Minnesota Timberwolves,NBA,No,Rudy Gobert,165,,,
Add,POOKIE00047,261328,Basketball,2025-26 Topps Chrome CALEB MARTIN #87 NBA RayWave Refractor Dallas Mavericks,,2.29,true,1,https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259125-front.jpg,4000,400011,,,"<div style=""font-family:Arial,sans-serif;color:#1f2937;line-height:1.6;""><table width=""100%"" cellpadding=""0"" cellspacing=""0"" style=""border-collapse:collapse;""><tr><td valign=""top"" style=""width:180px;padding-right:20px;""><img src=""https://storage.googleapis.com/cdp-batches-prod/45833-1311993/70259125-front.jpg"" alt=""2025-26 Topps Chrome CALEB MARTIN #87 NBA RayWave Refractor Dallas Mavericks"" style=""width:100%;max-width:180px;border-radius:12px;border:1px solid #e5e7eb;""/></td><td valign=""top""><h2 style=""margin:0 0 12px;font-size:24px;text-transform:uppercase;"">2025-26 Topps Chrome CALEB MARTIN #87 NBA RayWave Refractor Dallas Mavericks</h2><ol style=""margin:0 0 20px;padding-left:20px;""><li style=""margin-bottom:10px;"">All cards are scanned. If you see any lines, if you want more pictures, just ask!&nbsp;</li><li style=""margin-bottom:10px;"">I send all cards over $20 with tracking, and all mem patches are sent ground advantage to prevent damage.&nbsp;</li><li style=""margin-bottom:10px;"">All cards valued over $100 will have insurance added, which protects you as the buyer.&nbsp;</li></ol><p style=""margin:0;"">My goal is to have you receive the card in tip-top shape. No Returns Accepted. Questions, please ask!!!</p></td></tr></table></div>",FixedPrice,GTC,"Scottsdale, AZ",85250-6312,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)",2,ReturnsNotAccepted,,Sports Trading Card,Basketball,Caleb Martin,N/A,2025-26,Topps,RayWave Refractor,Chrome,Dallas Mavericks,NBA,No,Caleb Martin,87,,,
